# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_room.bag'
# timestamp tx ty tz qx qy qz qw
1305031907.2496 -0.0730 -0.4169 1.5916 0.8772 -0.1170 0.0666 -0.4608
1305031907.2596 -0.0758 -0.4159 1.5918 0.8768 -0.1173 0.0662 -0.4616
1305031907.2695 -0.0787 -0.4151 1.5921 0.8769 -0.1175 0.0656 -0.4615
1305031907.2795 -0.0815 -0.4139 1.5922 0.8764 -0.1178 0.0650 -0.4624
1305031907.2895 -0.0845 -0.4131 1.5926 0.8762 -0.1178 0.0645 -0.4629
1305031907.2995 -0.0876 -0.4122 1.5930 0.8763 -0.1178 0.0639 -0.4628
1305031907.3095 -0.0907 -0.4112 1.5934 0.8756 -0.1180 0.0635 -0.4641
1305031907.3195 -0.0936 -0.4101 1.5937 0.8749 -0.1179 0.0640 -0.4654
1305031907.3295 -0.0969 -0.4091 1.5941 0.8746 -0.1179 0.0635 -0.4660
1305031907.3395 -0.1000 -0.4079 1.5945 0.8736 -0.1181 0.0634 -0.4679
1305031907.3495 -0.1033 -0.4069 1.5949 0.8734 -0.1181 0.0632 -0.4682
1305031907.3595 -0.1065 -0.4060 1.5954 0.8733 -0.1181 0.0634 -0.4683
1305031907.3696 -0.1097 -0.4048 1.5958 0.8724 -0.1185 0.0637 -0.4698
1305031907.3796 -0.1129 -0.4038 1.5962 0.8721 -0.1185 0.0638 -0.4705
1305031907.3895 -0.1162 -0.4028 1.5968 0.8718 -0.1185 0.0644 -0.4709
1305031907.3995 -0.1197 -0.4017 1.5971 0.8711 -0.1185 0.0649 -0.4721
1305031907.4096 -0.1229 -0.4006 1.5975 0.8707 -0.1185 0.0650 -0.4729
1305031907.4195 -0.1263 -0.3997 1.5980 0.8706 -0.1187 0.0659 -0.4728
1305031907.4295 -0.1297 -0.3986 1.5982 0.8702 -0.1186 0.0660 -0.4737
1305031907.4395 -0.1329 -0.3974 1.5986 0.8699 -0.1189 0.0662 -0.4741
1305031907.4495 -0.1362 -0.3964 1.5989 0.8697 -0.1194 0.0668 -0.4743
1305031907.4596 -0.1395 -0.3953 1.5992 0.8693 -0.1201 0.0671 -0.4747
1305031907.4695 -0.1429 -0.3942 1.5995 0.8692 -0.1209 0.0670 -0.4748
1305031907.4795 -0.1462 -0.3929 1.5996 0.8684 -0.1220 0.0673 -0.4759
1305031907.4895 -0.1494 -0.3917 1.5998 0.8681 -0.1226 0.0672 -0.4763
1305031907.4996 -0.1528 -0.3905 1.6002 0.8678 -0.1237 0.0674 -0.4764
1305031907.5095 -0.1561 -0.3893 1.6003 0.8675 -0.1244 0.0672 -0.4770
