# ground truth trajectory
# file: 'rgbd_dataset_freiburg2_pioneer_360.bag'
# timestamp tx ty tz qx qy qz qw
1311876799.7716 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6602 -0.1357
1311876799.7750 -1.8197 -0.7559 0.5686 0.1562 0.7224 -0.6597 -0.1359
1311876799.7783 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6596 -0.1360
1311876799.7816 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6596 -0.1359
1311876799.7850 -1.8197 -0.7558 0.5686 0.1562 0.7225 -0.6596 -0.1360
1311876799.7883 -1.8198 -0.7559 0.5687 0.1562 0.7225 -0.6596 -0.1360
1311876799.7916 -1.8198 -0.7561 0.5687 0.1559 0.7221 -0.6602 -0.1357
1311876799.7950 -1.8197 -0.7559 0.5687 0.1562 0.7225 -0.6597 -0.1360
1311876799.7983 -1.8197 -0.7558 0.5686 0.1562 0.7225 -0.6596 -0.1360
1311876799.8017 -1.8197 -0.7559 0.5687 0.1563 0.7224 -0.6597 -0.1359
1311876799.8050 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1360
1311876799.8083 -1.8198 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1360
1311876799.8116 -1.8198 -0.7561 0.5687 0.1559 0.7220 -0.6603 -0.1357
1311876799.8149 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6602 -0.1357
1311876799.8183 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1359
1311876799.8216 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1360
1311876799.8249 -1.8197 -0.7559 0.5686 0.1561 0.7225 -0.6597 -0.1360
1311876799.8283 -1.8198 -0.7561 0.5687 0.1558 0.7220 -0.6603 -0.1357
1311876799.8316 -1.8198 -0.7561 0.5687 0.1558 0.7220 -0.6603 -0.1356
1311876799.8349 -1.8197 -0.7559 0.5686 0.1561 0.7225 -0.6597 -0.1359
1311876799.8382 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6596 -0.1359
1311876799.8416 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6596 -0.1359
1311876799.8449 -1.8197 -0.7559 0.5687 0.1562 0.7224 -0.6598 -0.1359
1311876799.8482 -1.8198 -0.7561 0.5686 0.1558 0.7221 -0.6602 -0.1357
1311876799.8516 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6602 -0.1357
1311876799.8549 -1.8198 -0.7561 0.5686 0.1558 0.7221 -0.6602 -0.1357
1311876799.8583 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6596 -0.1359
1311876799.8617 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1360
1311876799.8649 -1.8197 -0.7558 0.5686 0.1562 0.7225 -0.6596 -0.1360
1311876799.8683 -1.8198 -0.7561 0.5687 0.1559 0.7221 -0.6602 -0.1356
1311876799.8717 -1.8198 -0.7561 0.5687 0.1559 0.7220 -0.6603 -0.1357
1311876799.8749 -1.8197 -0.7559 0.5686 0.1562 0.7226 -0.6595 -0.1360
1311876799.8783 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1359
1311876799.8817 -1.8197 -0.7559 0.5686 0.1562 0.7224 -0.6597 -0.1359
1311876799.8849 -1.8197 -0.7559 0.5687 0.1561 0.7225 -0.6596 -0.1359
1311876799.8883 -1.8197 -0.7559 0.5687 0.1561 0.7225 -0.6596 -0.1359
1311876799.8917 -1.8198 -0.7561 0.5687 0.1558 0.7220 -0.6603 -0.1357
1311876799.8949 -1.8198 -0.7561 0.5687 0.1558 0.7220 -0.6603 -0.1357
1311876799.8983 -1.8197 -0.7559 0.5687 0.1562 0.7224 -0.6597 -0.1360
1311876799.9016 -1.8197 -0.7559 0.5686 0.1561 0.7225 -0.6597 -0.1360
